Category,Message
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham,Where is it. Is there any opening for mca.
ham,K:)k:)what are detail you want to transfer?acc no enough?
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,"Sir, I need AXIS BANK account no and bank address."
ham,"Lets use it next week, princess :)"
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,Do you still have the grinder?
ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,I will be gentle princess! We will make sweet gentle love...
ham,Really dun bluff me leh... U sleep early too. Nite...
ham,what number do u live at? Is it 11?
ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
ham,Ok going to sleep. Hope i can meet her.
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,I had it already..sabarish asked me to go..
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,I told that am coming on wednesday.
ham,He didn't see his shadow. We get an early spring yay
ham,Have a nice day my dear.
ham,Dear how is chechi. Did you talk to her
spam,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk
ham,Ok..
ham,Welp apparently he retired
ham,Then we wait 4 u lor... No need 2 feel bad lar...
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,"Sorry, I'll call later"
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,"Ya tel, wats ur problem.."
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
ham,You do got a shitload of diamonds though
ham,Dad went out oredi...
ham,Armand says get your ass over to epsilon
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT
ham,I'm reaching home in 5 min.
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
ham,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,You still around? I could use a half-8th
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,Ü got wat to buy tell us then ü no need to come in again.
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
ham,I'm now but have to wait till 2 for the bus to pick me.
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
ham,Yeah jay's sort of a fucking retard
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
ham,Ok ok take care. I can understand.
ham,"Haha just kidding, papa needs drugs"
ham,Yes. I come to nyc for audiitions and am trying to relocate.
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,Long after I quit. I get on only like 5 minutes a day as it is.
ham,No break time one... How... I come out n get my stuff fr ü?
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
ham,Ok thanx...
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
ham,Noice. Text me when you're here
ham,Ok then i come n pick u at engin?
